subject,point_FPSR,name_of_the_statistical_factor,importance_of_the_statistical_factor
Калужская область,3_10,"Количество потерпевших, в том числе юридических лиц",1130
Калужская область,3_10,"Количество потерпевших, в том числе физических лиц",4580
Калужская область,3_10,"Количество потерпевших, в том числе погибших",69
Калужская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",137
Калужская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",423
Калужская область,3_10,"Количество потерпевших, в том числе женщин",2149
Костромская область,3_10,Количество потерпевших,3278
Костромская область,3_10,"Количество потерпевших, в том числе юридических лиц",482
Костромская область,3_10,"Количество потерпевших, в том числе физических лиц",2796
Костромская область,3_10,"Количество потерпевших, в том числе погибших",54
Костромская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",65
Костромская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",450
Костромская область,3_10,"Количество потерпевших, в том числе женщин",1386
Курская область,3_10,Количество потерпевших,5110
Курская область,3_10,"Количество потерпевших, в том числе юридических лиц",1011
Курская область,3_10,"Количество потерпевших, в том числе физических лиц",4099
Курская область,3_10,"Количество потерпевших, в том числе погибших",64
Курская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",102
Курская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",528
Курская область,3_10,"Количество потерпевших, в том числе женщин",1976
Липецкая область,3_10,Количество потерпевших,5392
Липецкая область,3_10,"Количество потерпевших, в том числе юридических лиц",1352
Липецкая область,3_10,"Количество потерпевших, в том числе физических лиц",4040
Липецкая область,3_10,"Количество потерпевших, в том числе погибших",68
Липецкая область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",121
Липецкая область,3_10,"Количество потерпевших, в том числе несовершеннолетних",525
Липецкая область,3_10,"Количество потерпевших, в том числе женщин",2044
г. Москва,3_10,Количество потерпевших,55791
г. Москва,3_10,"Количество потерпевших, в том числе юридических лиц",11452
г. Москва,3_10,"Количество потерпевших, в том числе физических лиц",44339
г. Москва,3_10,"Количество потерпевших, в том числе погибших",299
г. Москва,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",599
г. Москва,3_10,"Количество потерпевших, в том числе несовершеннолетних",1480
г. Москва,3_10,"Количество потерпевших, в том числе женщин",21714
Московская область,3_10,Количество потерпевших,26942
Московская область,3_10,"Количество потерпевших, в том числе юридических лиц",6134
Московская область,3_10,"Количество потерпевших, в том числе физических лиц",20808
Московская область,3_10,"Количество потерпевших, в том числе погибших",501
Московская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",687
Московская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",1375
Московская область,3_10,"Количество потерпевших, в том числе женщин",9954
Орловская область,3_10,Количество потерпевших,3409
Орловская область,3_10,"Количество потерпевших, в том числе юридических лиц",739
Орловская область,3_10,"Количество потерпевших, в том числе физических лиц",2670
Орловская область,3_10,"Количество потерпевших, в том числе погибших",51
Орловская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",78
Орловская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",315
Орловская область,3_10,"Количество потерпевших, в том числе женщин",1256
Рязанская область,3_10,Количество потерпевших,2960
Рязанская область,3_10,"Количество потерпевших, в том числе юридических лиц",508
Рязанская область,3_10,"Количество потерпевших, в том числе физических лиц",2452
Рязанская область,3_10,"Количество потерпевших, в том числе погибших",105
Рязанская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",94
Рязанская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",243
Рязанская область,3_10,"Количество потерпевших, в том числе женщин",1156
Смоленская область,3_10,Количество потерпевших,5700
Смоленская область,3_10,"Количество потерпевших, в том числе юридических лиц",1242
Смоленская область,3_10,"Количество потерпевших, в том числе физических лиц",4458
Смоленская область,3_10,"Количество потерпевших, в том числе погибших",92
Смоленская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",77
Смоленская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",509
Смоленская область,3_10,"Количество потерпевших, в том числе женщин",2114
Тамбовская область,3_10,Количество потерпевших,5530
Тамбовская область,3_10,"Количество потерпевших, в том числе юридических лиц",1290
Тамбовская область,3_10,"Количество потерпевших, в том числе физических лиц",4240
Тамбовская область,3_10,"Количество потерпевших, в том числе погибших",77
Тамбовская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",78
Тамбовская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",560
Тамбовская область,3_10,"Количество потерпевших, в том числе женщин",1858
Тверская область,3_10,Количество потерпевших,9054
Тверская область,3_10,"Количество потерпевших, в том числе юридических лиц",1867
Тверская область,3_10,"Количество потерпевших, в том числе физических лиц",7187
Тверская область,3_10,"Количество потерпевших, в том числе погибших",120
Тверская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",152
Тверская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",841
Тверская область,3_10,"Количество потерпевших, в том числе женщин",3419
Тульская область,3_10,Количество потерпевших,6088
Тульская область,3_10,"Количество потерпевших, в том числе юридических лиц",1328
Тульская область,3_10,"Количество потерпевших, в том числе физических лиц",4760
Тульская область,3_10,"Количество потерпевших, в том числе погибших",138
Тульская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",123
Тульская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",552
Тульская область,3_10,"Количество потерпевших, в том числе женщин",2186
Ярославская область,3_10,Количество потерпевших,6706
Ярославская область,3_10,"Количество потерпевших, в том числе юридических лиц",1744
Ярославская область,3_10,"Количество потерпевших, в том числе физических лиц",4962
Ярославская область,3_10,"Количество потерпевших, в том числе погибших",133
Ярославская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",164
Ярославская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",621
Ярославская область,3_10,"Количество потерпевших, в том числе женщин",2362
Северо-Западный фед.округ,3_10,Количество потерпевших,76262
Северо-Западный фед.округ,3_10,"Количество потерпевших, в том числе юридических лиц",15130
Северо-Западный фед.округ,3_10,"Количество потерпевших, в том числе физических лиц",61132
Северо-Западный фед.округ,3_10,"Количество потерпевших, в том числе погибших",889
Северо-Западный фед.округ,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",1569
Северо-Западный фед.округ,3_10,"Количество потерпевших, в том числе несовершеннолетних",5899
Северо-Западный фед.округ,3_10,"Количество потерпевших, в том числе женщин",29404
Республика Карелия,3_10,Количество потерпевших,5401
Республика Карелия,3_10,"Количество потерпевших, в том числе юридических лиц",1683
Республика Карелия,3_10,"Количество потерпевших, в том числе физических лиц",3718
Республика Карелия,3_10,"Количество потерпевших, в том числе погибших",57
Республика Карелия,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",103
Республика Карелия,3_10,"Количество потерпевших, в том числе несовершеннолетних",402
Республика Карелия,3_10,"Количество потерпевших, в том числе женщин",1825
Республика Коми,3_10,Количество потерпевших,5712
Республика Коми,3_10,"Количество потерпевших, в том числе юридических лиц",872
Республика Коми,3_10,"Количество потерпевших, в том числе физических лиц",4840
Республика Коми,3_10,"Количество потерпевших, в том числе погибших",90
Республика Коми,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",125
Республика Коми,3_10,"Количество потерпевших, в том числе несовершеннолетних",622
Республика Коми,3_10,"Количество потерпевших, в том числе женщин",2250
Архангельская обл. (с АО ),3_10,Количество потерпевших,7383
Архангельская обл. (с АО ),3_10,"Количество потерпевших, в том числе юридических лиц",1065
Архангельская обл. (с АО ),3_10,"Количество потерпевших, в том числе физических лиц",6318
Архангельская обл. (с АО ),3_10,"Количество потерпевших, в том числе погибших",94
Архангельская обл. (с АО ),3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",162
Архангельская обл. (с АО ),3_10,"Количество потерпевших, в том числе несовершеннолетних",889
Архангельская обл. (с АО ),3_10,"Количество потерпевших, в том числе женщин",3049
Архангельская обл. (без а/о),3_10,Количество потерпевших,7014
Архангельская обл. (без а/о),3_10,"Количество потерпевших, в том числе юридических лиц",1020
Архангельская обл. (без а/о),3_10,"Количество потерпевших, в том числе физических лиц",5994
Архангельская обл. (без а/о),3_10,"Количество потерпевших, в том числе погибших",82
Архангельская обл. (без а/о),3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",153
Архангельская обл. (без а/о),3_10,"Количество потерпевших, в том числе несовершеннолетних",859
Архангельская обл. (без а/о),3_10,"Количество потерпевших, в том числе женщин",2907
Ненецкий АО,3_10,Количество потерпевших,369
Ненецкий АО,3_10,"Количество потерпевших, в том числе юридических лиц",45
Ненецкий АО,3_10,"Количество потерпевших, в том числе физических лиц",324
Ненецкий АО,3_10,"Количество потерпевших, в том числе погибших",12
Ненецкий АО,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",9
Ненецкий АО,3_10,"Количество потерпевших, в том числе несовершеннолетних",30
Ненецкий АО,3_10,"Количество потерпевших, в том числе женщин",142
Вологодская область,3_10,Количество потерпевших,7505
Вологодская область,3_10,"Количество потерпевших, в том числе юридических лиц",1303
Вологодская область,3_10,"Количество потерпевших, в том числе физических лиц",6202
Вологодская область,3_10,"Количество потерпевших, в том числе погибших",103
Вологодская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",164
Вологодская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",719
Вологодская область,3_10,"Количество потерпевших, в том числе женщин",2925
Калининградская область,3_10,Количество потерпевших,5289
Калининградская область,3_10,"Количество потерпевших, в том числе юридических лиц",1029
Калининградская область,3_10,"Количество потерпевших, в том числе физических лиц",4260
Калининградская область,3_10,"Количество потерпевших, в том числе погибших",38
Калининградская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",91
Калининградская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",422
Калининградская область,3_10,"Количество потерпевших, в том числе женщин",1998
ГУ МВД России по г.Санкт-Петерб. и Лен.обл.,3_10,Количество потерпевших,32870
ГУ МВД России по г.Санкт-Петерб. и Лен.обл.,3_10,"Количество потерпевших, в том числе юридических лиц",6645
ГУ МВД России по г.Санкт-Петерб. и Лен.обл.,3_10,"Количество потерпевших, в том числе физических лиц",26225
ГУ МВД России по г.Санкт-Петерб. и Лен.обл.,3_10,"Количество потерпевших, в том числе погибших",338
ГУ МВД России по г.Санкт-Петерб. и Лен.обл.,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",671
ГУ МВД России по г.Санкт-Петерб. и Лен.обл.,3_10,"Количество потерпевших, в том числе несовершеннолетних",1829
ГУ МВД России по г.Санкт-Петерб. и Лен.обл.,3_10,"Количество потерпевших, в том числе женщин",12855
Ленинградская область,3_10,Количество потерпевших,10960
Ленинградская область,3_10,"Количество потерпевших, в том числе юридических лиц",2417
Ленинградская область,3_10,"Количество потерпевших, в том числе физических лиц",8543
Ленинградская область,3_10,"Количество потерпевших, в том числе погибших",156
Ленинградская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",263
Ленинградская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",542
Ленинградская область,3_10,"Количество потерпевших, в том числе женщин",3866
г. Санкт-Петербург,3_10,Количество потерпевших,21910
г. Санкт-Петербург,3_10,"Количество потерпевших, в том числе юридических лиц",4228
г. Санкт-Петербург,3_10,"Количество потерпевших, в том числе физических лиц",17682
г. Санкт-Петербург,3_10,"Количество потерпевших, в том числе погибших",182
г. Санкт-Петербург,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",408
г. Санкт-Петербург,3_10,"Количество потерпевших, в том числе несовершеннолетних",1287
г. Санкт-Петербург,3_10,"Количество потерпевших, в том числе женщин",8989
Мурманская область,3_10,Количество потерпевших,4636
Мурманская область,3_10,"Количество потерпевших, в том числе юридических лиц",947
Мурманская область,3_10,"Количество потерпевших, в том числе физических лиц",3689
Мурманская область,3_10,"Количество потерпевших, в том числе погибших",54
Мурманская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",107
Мурманская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",392
Мурманская область,3_10,"Количество потерпевших, в том числе женщин",1659
Новгородскаяобласть,3_10,Количество потерпевших,4244
Новгородскаяобласть,3_10,"Количество потерпевших, в том числе юридических лиц",833
Новгородскаяобласть,3_10,"Количество потерпевших, в том числе физических лиц",3411
Новгородскаяобласть,3_10,"Количество потерпевших, в том числе погибших",59
Новгородскаяобласть,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",60
Новгородскаяобласть,3_10,"Количество потерпевших, в том числе несовершеннолетних",348
Новгородскаяобласть,3_10,"Количество потерпевших, в том числе женщин",1649
Псковская область,3_10,Количество потерпевших,3222
Псковская область,3_10,"Количество потерпевших, в том числе юридических лиц",753
Псковская область,3_10,"Количество потерпевших, в том числе физических лиц",2469
Псковская область,3_10,"Количество потерпевших, в том числе погибших",56
Псковская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",86
Псковская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",276
Псковская область,3_10,"Количество потерпевших, в том числе женщин",1194
Северо-Кавказский фед.округ,3_10,Количество потерпевших,23153
Северо-Кавказский фед.округ,3_10,"Количество потерпевших, в том числе юридических лиц",3791
Северо-Кавказский фед.округ,3_10,"Количество потерпевших, в том числе физических лиц",19362
Северо-Кавказский фед.округ,3_10,"Количество потерпевших, в том числе погибших",436
Северо-Кавказский фед.округ,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",607
Северо-Кавказский фед.округ,3_10,"Количество потерпевших, в том числе несовершеннолетних",2252
Северо-Кавказский фед.округ,3_10,"Количество потерпевших, в том числе женщин",8907
Ставропольский край,3_10,Количество потерпевших,12631
Ставропольский край,3_10,"Количество потерпевших, в том числе юридических лиц",2084
Ставропольский край,3_10,"Количество потерпевших, в том числе физических лиц",10547
Ставропольский край,3_10,"Количество потерпевших, в том числе погибших",136
Ставропольский край,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",259
Ставропольский край,3_10,"Количество потерпевших, в том числе несовершеннолетних",801
Ставропольский край,3_10,"Количество потерпевших, в том числе женщин",4950
Республика Ингушетия,3_10,Количество потерпевших,454
Республика Ингушетия,3_10,"Количество потерпевших, в том числе юридических лиц",85
Республика Ингушетия,3_10,"Количество потерпевших, в том числе физических лиц",369
Республика Ингушетия,3_10,"Количество потерпевших, в том числе погибших",14
Республика Ингушетия,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",19
Республика Ингушетия,3_10,"Количество потерпевших, в том числе несовершеннолетних",25
Республика Ингушетия,3_10,"Количество потерпевших, в том числе женщин",140
Республика Дагестан,3_10,Количество потерпевших,3397
Республика Дагестан,3_10,"Количество потерпевших, в том числе юридических лиц",398
Республика Дагестан,3_10,"Количество потерпевших, в том числе физических лиц",2999
Республика Дагестан,3_10,"Количество потерпевших, в том числе погибших",110
Республика Дагестан,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",171
Республика Дагестан,3_10,"Количество потерпевших, в том числе несовершеннолетних",630
Республика Дагестан,3_10,"Количество потерпевших, в том числе женщин",1272
Кабардино-Балкарская Респ.,3_10,Количество потерпевших,2338
Кабардино-Балкарская Респ.,3_10,"Количество потерпевших, в том числе юридических лиц",267
Кабардино-Балкарская Респ.,3_10,"Количество потерпевших, в том числе физических лиц",2071
Кабардино-Балкарская Респ.,3_10,"Количество потерпевших, в том числе погибших",67
Кабардино-Балкарская Респ.,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",63
Кабардино-Балкарская Респ.,3_10,"Количество потерпевших, в том числе несовершеннолетних",416
Кабардино-Балкарская Респ.,3_10,"Количество потерпевших, в том числе женщин",1033
Респ. Сев.Осетия - Алания,3_10,Количество потерпевших,2340
Респ. Сев.Осетия - Алания,3_10,"Количество потерпевших, в том числе юридических лиц",629
Респ. Сев.Осетия - Алания,3_10,"Количество потерпевших, в том числе физических лиц",1711
Респ. Сев.Осетия - Алания,3_10,"Количество потерпевших, в том числе погибших",49
Респ. Сев.Осетия - Алания,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",47
Респ. Сев.Осетия - Алания,3_10,"Количество потерпевших, в том числе несовершеннолетних",184
Респ. Сев.Осетия - Алания,3_10,"Количество потерпевших, в том числе женщин",820
Карачаево-Черкесская Респ.,3_10,Количество потерпевших,1284
Карачаево-Черкесская Респ.,3_10,"Количество потерпевших, в том числе юридических лиц",199
Карачаево-Черкесская Респ.,3_10,"Количество потерпевших, в том числе физических лиц",1085
Карачаево-Черкесская Респ.,3_10,"Количество потерпевших, в том числе погибших",34
Карачаево-Черкесская Респ.,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",27
Карачаево-Черкесская Респ.,3_10,"Количество потерпевших, в том числе несовершеннолетних",166
Карачаево-Черкесская Респ.,3_10,"Количество потерпевших, в том числе женщин",507
Чеченская Республика,3_10,Количество потерпевших,709
Чеченская Республика,3_10,"Количество потерпевших, в том числе юридических лиц",129
Чеченская Республика,3_10,"Количество потерпевших, в том числе физических лиц",580
Чеченская Республика,3_10,"Количество потерпевших, в том числе погибших",26
Чеченская Республика,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",21
Чеченская Республика,3_10,"Количество потерпевших, в том числе несовершеннолетних",30
Чеченская Республика,3_10,"Количество потерпевших, в том числе женщин",185
Южный фед.округ,3_10,Количество потерпевших,90646
Южный фед.округ,3_10,"Количество потерпевших, в том числе юридических лиц",15100
Южный фед.округ,3_10,"Количество потерпевших, в том числе физических лиц",75546
Южный фед.округ,3_10,"Количество потерпевших, в том числе погибших",1097
Южный фед.округ,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",1648
Южный фед.округ,3_10,"Количество потерпевших, в том числе несовершеннолетних",6647
Южный фед.округ,3_10,"Количество потерпевших, в том числе женщин",34661
Краснодарский край,3_10,Количество потерпевших,34481
Краснодарский край,3_10,"Количество потерпевших, в том числе юридических лиц",4728
Краснодарский край,3_10,"Количество потерпевших, в том числе физических лиц",29753
Краснодарский край,3_10,"Количество потерпевших, в том числе погибших",364
Краснодарский край,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",586
Краснодарский край,3_10,"Количество потерпевших, в том числе несовершеннолетних",2134
Краснодарский край,3_10,"Количество потерпевших, в том числе женщин",13329
Астраханская область,3_10,Количество потерпевших,5147
Астраханская область,3_10,"Количество потерпевших, в том числе юридических лиц",774
Астраханская область,3_10,"Количество потерпевших, в том числе физических лиц",4373
Астраханская область,3_10,"Количество потерпевших, в том числе погибших",58
Астраханская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",80
Астраханская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",568
Астраханская область,3_10,"Количество потерпевших, в том числе женщин",2117
Волгоградская область,3_10,Количество потерпевших,15011
Волгоградская область,3_10,"Количество потерпевших, в том числе юридических лиц",3024
Волгоградская область,3_10,"Количество потерпевших, в том числе физических лиц",11987
Волгоградская область,3_10,"Количество потерпевших, в том числе погибших",178
Волгоградская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",239
Волгоградская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",987
Волгоградская область,3_10,"Количество потерпевших, в том числе женщин",5581
Ростовская область,3_10,Количество потерпевших,23332
Ростовская область,3_10,"Количество потерпевших, в том числе юридических лиц",5052
Ростовская область,3_10,"Количество потерпевших, в том числе физических лиц",18280
Ростовская область,3_10,"Количество потерпевших, в том числе погибших",280
Ростовская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",344
Ростовская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",1680
Ростовская область,3_10,"Количество потерпевших, в том числе женщин",8561
Республика Адыгея,3_10,Количество потерпевших,1821
Республика Адыгея,3_10,"Количество потерпевших, в том числе юридических лиц",270
Республика Адыгея,3_10,"Количество потерпевших, в том числе физических лиц",1551
Республика Адыгея,3_10,"Количество потерпевших, в том числе погибших",23
Республика Адыгея,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",40
Республика Адыгея,3_10,"Количество потерпевших, в том числе несовершеннолетних",201
Республика Адыгея,3_10,"Количество потерпевших, в том числе женщин",688
Республика Калмыкия,3_10,Количество потерпевших,1076
Республика Калмыкия,3_10,"Количество потерпевших, в том числе юридических лиц",213
Республика Калмыкия,3_10,"Количество потерпевших, в том числе физических лиц",863
Республика Калмыкия,3_10,"Количество потерпевших, в том числе погибших",37
Республика Калмыкия,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",42
Республика Калмыкия,3_10,"Количество потерпевших, в том числе несовершеннолетних",120
Республика Калмыкия,3_10,"Количество потерпевших, в том числе женщин",377
Республика Крым,3_10,Количество потерпевших,7413
Республика Крым,3_10,"Количество потерпевших, в том числе юридических лиц",771
Республика Крым,3_10,"Количество потерпевших, в том числе физических лиц",6642
Республика Крым,3_10,"Количество потерпевших, в том числе погибших",129
Республика Крым,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",261
Республика Крым,3_10,"Количество потерпевших, в том числе несовершеннолетних",809
Республика Крым,3_10,"Количество потерпевших, в том числе женщин",3071
г. Севастополь,3_10,Количество потерпевших,2365
г. Севастополь,3_10,"Количество потерпевших, в том числе юридических лиц",268
г. Севастополь,3_10,"Количество потерпевших, в том числе физических лиц",2097
г. Севастополь,3_10,"Количество потерпевших, в том числе погибших",28
г. Севастополь,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",56
г. Севастополь,3_10,"Количество потерпевших, в том числе несовершеннолетних",148
г. Севастополь,3_10,"Количество потерпевших, в том числе женщин",937
Приволжский фед.округ,3_10,Количество потерпевших,150376
Приволжский фед.округ,3_10,"Количество потерпевших, в том числе юридических лиц",29688
Приволжский фед.округ,3_10,"Количество потерпевших, в том числе физических лиц",120688
Приволжский фед.округ,3_10,"Количество потерпевших, в том числе погибших",2076
Приволжский фед.округ,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",3006
Приволжский фед.округ,3_10,"Количество потерпевших, в том числе несовершеннолетних",13933
Приволжский фед.округ,3_10,"Количество потерпевших, в том числе женщин",59519
Республика Башкортостан,3_10,Количество потерпевших,20329
Республика Башкортостан,3_10,"Количество потерпевших, в том числе юридических лиц",4531
Республика Башкортостан,3_10,"Количество потерпевших, в том числе физических лиц",15798
Республика Башкортостан,3_10,"Количество потерпевших, в том числе погибших",290
Республика Башкортостан,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",406
Республика Башкортостан,3_10,"Количество потерпевших, в том числе несовершеннолетних",1886
Республика Башкортостан,3_10,"Количество потерпевших, в том числе женщин",7634
Республика Марий Эл,3_10,Количество потерпевших,3245
Республика Марий Эл,3_10,"Количество потерпевших, в том числе юридических лиц",519
Республика Марий Эл,3_10,"Количество потерпевших, в том числе физических лиц",2726
Республика Марий Эл,3_10,"Количество потерпевших, в том числе погибших",50
Республика Марий Эл,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",82
Республика Марий Эл,3_10,"Количество потерпевших, в том числе несовершеннолетних",292
Республика Марий Эл,3_10,"Количество потерпевших, в том числе женщин",1362
Республика Мордовия,3_10,Количество потерпевших,3185
Республика Мордовия,3_10,"Количество потерпевших, в том числе юридических лиц",505
Республика Мордовия,3_10,"Количество потерпевших, в том числе физических лиц",2680
Республика Мордовия,3_10,"Количество потерпевших, в том числе погибших",47
Республика Мордовия,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",78
Республика Мордовия,3_10,"Количество потерпевших, в том числе несовершеннолетних",465
Республика Мордовия,3_10,"Количество потерпевших, в том числе женщин",1333
Республика Татарстан,3_10,Количество потерпевших,20207
Республика Татарстан,3_10,"Количество потерпевших, в том числе юридических лиц",3942
Республика Татарстан,3_10,"Количество потерпевших, в том числе физических лиц",16265
Республика Татарстан,3_10,"Количество потерпевших, в том числе погибших",304
Республика Татарстан,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",379
Республика Татарстан,3_10,"Количество потерпевших, в том числе несовершеннолетних",1282
Республика Татарстан,3_10,"Количество потерпевших, в том числе женщин",8053
Удмуртская Республика,3_10,Количество потерпевших,10907
Удмуртская Республика,3_10,"Количество потерпевших, в том числе юридических лиц",2084
Удмуртская Республика,3_10,"Количество потерпевших, в том числе физических лиц",8823
Удмуртская Республика,3_10,"Количество потерпевших, в том числе погибших",96
Удмуртская Республика,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",194
